Provider,PotentialFraud,Inpatient_NumClaims,Inpatient_NumBeneficiaries,Inpatient_AvgClaimsPerBeneficiary,Inpatient_TotalReimbursed,Inpatient_AvgReimbursed,Inpatient_StdReimbursed,Inpatient_MaxReimbursed,Inpatient_MinReimbursed,Inpatient_TotalDeductible,Inpatient_AvgDeductible,Inpatient_NumUniquePhysicians,Inpatient_UniqueDiagnoses,Inpatient_UniqueProcedures,Inpatient_AvgLOS,Inpatient_TotalLOS,Inpatient_MaxLOS,Inpatient_AvgClaimDuration,Outpatient_NumClaims,Outpatient_NumBeneficiaries,Outpatient_AvgClaimsPerBeneficiary,Outpatient_TotalReimbursed,Outpatient_AvgReimbursed,Outpatient_StdReimbursed,Outpatient_MaxReimbursed,Outpatient_MinReimbursed,Outpatient_TotalDeductible,Outpatient_AvgDeductible,Outpatient_NumUniquePhysicians,Outpatient_UniqueDiagnoses,Outpatient_UniqueProcedures,Outpatient_AvgClaimDuration,Age_mean_Inp,Age_std_Inp,Age_min_Inp,Age_max_Inp,Gender_mean_Inp,ChronicConditionsCount_mean_Inp,ChronicConditionsCount_max_Inp,ChronicConditionsCount_sum_Inp,IsDeceased_sum_Inp,HasRenalDisease_sum_Inp,Age_mean_Out,Age_std_Out,Age_min_Out,Age_max_Out,Gender_mean_Out,ChronicConditionsCount_mean_Out,ChronicConditionsCount_max_Out,ChronicConditionsCount_sum_Out,IsDeceased_sum_Out,HasRenalDisease_sum_Out
PRV55874,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1380.0,138.0,124.43650768341438,400.0,20.0,0.0,0.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.14305270362766,12.023984245536788,58.6694045174538,94.7542778918549,1.4,16.7,22.0,167.0,0.0,2.0
PRV53480,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,1520.0,152.0,237.99159649029627,600.0,0.0,0.0,0.0,9.0,25.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.71841204654346,6.602884764307111,71.50171115674196,93.41820670773443,1.5,17.5,22.0,175.0,0.0,2.0
PRV57205,No,12.0,12.0,1.0,119500.0,9958.333333333334,12465.330709490609,47000.0,500.0,12816.0,1068.0,17.0,66.0,8.0,5.166666666666667,62.0,12.0,5.166666666666667,81.0,75.0,1.08,16180.0,199.7530864197531,331.496513211836,1900.0,0.0,550.0,6.790123456790123,65.0,136.0,0.0,0.7037037037037037,76.48642482318047,9.334707511726517,63.75359342915811,100.91444216290212,1.4166666666666667,17.083333333333332,19.0,205.0,0.0,3.0,73.6270945826045,14.559237190694674,26.587268993839835,100.66803559206024,1.6666666666666667,17.580246913580247,22.0,1424.0,1.0,12.0
PRV55225,Yes,9.0,9.0,1.0,179000.0,19888.88888888889,16081.390210771926,57000.0,7000.0,9612.0,1068.0,15.0,64.0,7.0,6.777777777777778,61.0,27.0,6.777777777777778,57.0,55.0,1.0363636363636364,20390.0,357.719298245614,804.8025879144428,3300.0,0.0,140.0,2.456140350877193,49.0,116.0,0.0,0.9473684210526315,76.35287854589703,5.160628038724482,69.33333333333333,83.24982888432581,1.5555555555555556,16.22222222222222,19.0,146.0,0.0,3.0,75.51885874851399,11.123785100215718,50.25051334702259,98.42026009582477,1.4912280701754386,17.350877192982455,22.0,989.0,0.0,9.0
PRV52232,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,640.0,160.0,227.3030282830976,500.0,30.0,100.0,25.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7296372347707,15.308594114446032,60.167008898015055,96.50102669404518,1.5,19.75,21.0,79.0,0.0,0.0
PRV53792,Yes,33.0,32.0,1.03125,261000.0,7909.090909090909,7273.082377694293,34000.0,0.0,35244.0,1068.0,5.0,166.0,14.0,4.424242424242424,146.0,17.0,4.424242424242424,20.0,20.0,1.0,11510.0,575.5,1032.3834202057826,3300.0,0.0,50.0,2.5,25.0,58.0,0.0,2.75,73.38759255802377,15.00726794914896,37.91649555099247,92.16700889801506,1.606060606060606,16.636363636363637,21.0,549.0,1.0,8.0,70.83449691991787,16.847084131923737,32.58590006844627,92.58590006844626,1.7,16.6,22.0,332.0,0.0,4.0
PRV57549,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,324.0,1.5987654320987654,161160.0,311.11969111969114,829.6455286734652,14070.0,0.0,1040.0,2.0077220077220077,12.0,718.0,0.0,1.223938223938224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.92042790810758,12.754943073419842,28.334017796030118,99.33470225872689,1.5945945945945945,17.776061776061777,22.0,9208.0,7.0,100.0
PRV55842,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,43.0,2.8372093023255816,49540.0,406.0655737704918,753.7460797173924,4080.0,0.0,610.0,5.0,45.0,219.0,0.0,1.1967213114754098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.95728279530077,7.281037849046545,56.33401779603012,92.75290896646133,1.5,18.16393442622951,22.0,2216.0,0.0,37.0
PRV54246,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,1.5925925925925926,9900.0,230.2325581395349,366.2518543563849,1700.0,0.0,120.0,2.7906976744186047,32.0,96.0,0.0,1.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.91961542747083,12.508668140405192,42.25051334702259,100.41889117043121,1.697674418604651,17.558139534883722,21.0,755.0,0.0,3.0
PRV52142,No,28.0,28.0,1.0,242900.0,8675.0,7868.484959352439,33000.0,0.0,29904.0,1068.0,32.0,148.0,17.0,4.75,133.0,13.0,4.75,31.0,31.0,1.0,5620.0,181.29032258064515,233.5343220383087,800.0,0.0,140.0,4.516129032258065,34.0,55.0,0.0,3.4516129032258065,78.36980541703335,7.408353086602025,67.24982888432581,97.58521560574948,1.5,16.821428571428573,21.0,471.0,0.0,7.0,76.30443134397562,10.368272341504788,37.91649555099247,93.58521560574948,1.5161290322580645,17.451612903225808,21.0,541.0,0.0,4.0
PRV52745,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,152.0,1.0263157894736843,47020.0,301.4102564102564,1173.2669848336222,14010.0,0.0,560.0,3.58974358974359,5.0,248.0,0.0,1.0897435897435896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.84648730233945,13.921195408383522,28.501026694045173,100.66803559206024,1.5897435897435896,17.5,22.0,2730.0,1.0,33.0
PRV54611,No,1.0,1.0,1.0,4000.0,4000.0,0.0,4000.0,4000.0,1068.0,1068.0,1.0,7.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,760.0,152.0,154.82247898803325,400.0,10.0,100.0,20.0,8.0,8.0,0.0,0.0,75.24982888432581,0.0,75.24982888432581,75.24982888432581,1.0,18.0,18.0,18.0,0.0,0.0,68.95003422313484,9.782685099149912,59.83025325119781,83.66872005475702,1.4,20.2,22.0,101.0,0.0,0.0
PRV51532,No,6.0,6.0,1.0,60000.0,10000.0,4690.41575982343,18000.0,6000.0,6408.0,1068.0,10.0,45.0,3.0,9.166666666666666,55.0,22.0,9.166666666666666,26.0,25.0,1.04,10930.0,420.38461538461536,842.7074499218849,3300.0,0.0,200.0,7.6923076923076925,40.0,51.0,0.0,2.0,77.77960301163587,10.782791526046877,58.42026009582478,87.58658453114305,1.3333333333333333,15.666666666666666,17.0,94.0,0.0,2.0,71.67029958405729,12.585914378233708,44.99931553730322,100.0,1.6153846153846154,17.384615384615383,22.0,452.0,0.0,7.0
PRV54507,No,39.0,30.0,1.3,340000.0,8717.948717948719,7240.05204237154,32000.0,2000.0,39516.0,1068.0,44.0,197.0,25.0,4.717948717948718,184.0,15.0,4.717948717948718,70.0,44.0,1.5909090909090908,23310.0,333.0,593.4872378149975,3300.0,0.0,120.0,1.7142857142857142,60.0,137.0,0.0,0.04285714285714286,71.75689289036312,14.777977123201305,33.24845995893224,93.66735112936345,1.3846153846153846,16.641025641025642,22.0,649.0,0.0,6.0,76.11858805123693,11.364415569157833,27.000684462696782,99.16769336071184,1.5857142857142856,17.742857142857144,22.0,1242.0,3.0,12.0
PRV56475,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,1.8888888888888888,11180.0,328.8235294117647,686.4302242492847,3300.0,10.0,0.0,0.0,20.0,81.0,0.0,1.2058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.07243225832428,13.431198189330972,37.58521560574949,90.7542778918549,1.6176470588235294,17.970588235294116,22.0,611.0,0.0,3.0
PRV53428,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,1.0,4930.0,224.0909090909091,438.0765218098762,1800.0,0.0,0.0,0.0,25.0,44.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.41783336444527,11.717957909741967,42.502395619438744,98.42026009582477,1.5909090909090908,17.40909090909091,21.0,383.0,0.0,3.0
PRV55783,No,4.0,4.0,1.0,41000.0,10250.0,4716.990566028302,17000.0,7000.0,4272.0,1068.0,6.0,28.0,2.0,4.75,19.0,7.0,4.75,3.0,3.0,1.0,2040.0,680.0,973.2420048477152,1800.0,40.0,0.0,0.0,5.0,8.0,0.0,1.3333333333333333,71.93839835728953,14.78671591779215,53.91649555099247,88.16700889801506,1.75,17.25,20.0,69.0,0.0,0.0,66.91763632215378,4.393807260526413,63.00068446269678,71.66872005475702,1.0,17.666666666666668,19.0,53.0,0.0,2.0
PRV57018,Yes,24.0,22.0,1.0909090909090908,332000.0,13833.333333333334,9420.914137619862,36000.0,2000.0,24564.0,1068.0,7.0,132.0,24.0,5.458333333333333,131.0,19.0,5.458333333333333,9.0,9.0,1.0,690.0,76.66666666666667,77.62087348130012,200.0,0.0,0.0,0.0,4.0,20.0,0.0,0.6666666666666666,72.44855122062513,12.174461017220475,37.333333333333336,94.08350444900753,1.5833333333333333,16.416666666666668,21.0,394.0,1.0,5.0,69.01848049281314,16.263414767098922,34.168377823408626,89.08145106091717,1.7777777777777777,17.0,20.0,153.0,0.0,2.0
PRV52662,No,2.0,2.0,1.0,11000.0,5500.0,2121.3203435596424,7000.0,4000.0,2136.0,1068.0,3.0,14.0,1.0,3.5,7.0,4.0,3.5,17.0,16.0,1.0625,1790.0,105.29411764705883,134.26269246605807,500.0,10.0,0.0,0.0,21.0,41.0,0.0,1.411764705882353,52.79260780287474,22.91974587944568,36.58590006844627,68.99931553730322,2.0,17.5,18.0,35.0,0.0,0.0,77.77042315899666,11.766327810177502,50.91581108829569,100.75290896646133,1.7647058823529411,17.058823529411764,22.0,290.0,0.0,3.0
PRV55022,Yes,76.0,67.0,1.1343283582089552,705000.0,9276.315789473685,9731.87023370195,57000.0,0.0,80100.0,1068.0,7.0,321.0,38.0,5.197368421052632,395.0,35.0,5.197368421052632,61.0,59.0,1.0338983050847457,11850.0,194.2622950819672,443.9912124370386,3300.0,0.0,240.0,3.9344262295081966,62.0,136.0,0.0,1.3770491803278688,76.21910011167549,15.727544044481329,27.668720054757017,98.33538672142369,1.5526315789473684,16.473684210526315,21.0,1252.0,0.0,18.0,77.06632555738827,11.347121193360787,50.75427789185489,100.41889117043121,1.6229508196721312,17.37704918032787,22.0,1060.0,1.0,5.0
PRV54185,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,350.0,175.0,176.7766952966369,300.0,50.0,0.0,0.0,2.0,5.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.20876112251882,22.56933841224578,59.2498288843258,91.16769336071184,1.5,19.5,22.0,39.0,0.0,1.0
PRV51862,No,8.0,8.0,1.0,89000.0,11125.0,8271.076972541985,24000.0,4000.0,8544.0,1068.0,13.0,59.0,6.0,4.75,38.0,8.0,4.75,12.0,12.0,1.0,3870.0,322.5,344.88799235799337,1100.0,30.0,10.0,0.8333333333333334,17.0,26.0,0.0,0.5833333333333334,70.8025325119781,16.233842647014765,43.419575633128,93.66735112936345,1.625,17.125,20.0,137.0,0.0,2.0,76.06319872233631,13.008019220647537,42.168377823408626,89.75222450376455,1.5,18.25,22.0,219.0,0.0,2.0
PRV57399,No,1.0,1.0,1.0,57000.0,57000.0,0.0,57000.0,57000.0,1068.0,1068.0,3.0,9.0,1.0,17.0,17.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.001368925393564,0.0,58.001368925393564,58.001368925393564,1.0,15.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV56004,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,3470.0,694.0,1457.285147114318,3300.0,0.0,50.0,10.0,7.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.75085557837097,5.0947817040977394,72.41889117043121,85.24845995893224,1.8,17.8,19.0,89.0,0.0,1.0
PRV56058,No,11.0,11.0,1.0,90000.0,8181.818181818182,3400.534717310847,17000.0,3000.0,10680.0,1068.0,9.0,73.0,7.0,7.7272727272727275,85.0,29.0,7.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.69112065210628,13.552814202610177,48.75290896646133,95.16769336071184,1.5454545454545454,16.272727272727273,20.0,179.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV52420,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,47.0,3.0,78050.0,553.5460992907801,1221.0300889891366,11080.0,0.0,100.0,0.7092198581560284,9.0,275.0,0.0,3.234042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.35556138076998,11.375177526151834,43.419575633128,97.24845995893224,1.6666666666666667,17.078014184397162,22.0,2408.0,2.0,44.0
PRV53860,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.16700889801506,0.0,64.16700889801506,64.16700889801506,1.0,15.0,15.0,15.0,0.0,1.0
PRV53433,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,1.2666666666666666,2920.0,153.68421052631578,235.2353555795129,900.0,0.0,70.0,3.6842105263157894,21.0,48.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1928383587305,9.77909687140196,51.3347022587269,88.82956878850102,1.6842105263157894,17.36842105263158,20.0,330.0,0.0,8.0
PRV52077,Yes,104.0,91.0,1.1428571428571428,1080000.0,10384.615384615385,13356.43381005871,112000.0,0.0,110004.0,1068.0,9.0,392.0,59.0,5.548076923076923,577.0,35.0,5.548076923076923,1052.0,662.0,1.5891238670694865,284150.0,270.1045627376426,574.2529076951097,5020.0,0.0,2530.0,2.4049429657794676,25.0,1241.0,2.0,1.3631178707224334,77.26378139314485,11.88188420679454,39.3347022587269,100.24914442162903,1.5288461538461537,16.39423076923077,21.0,1705.0,2.0,22.0,75.4348550266368,12.137970762102169,27.000684462696782,100.66803559206024,1.5598859315589353,17.61406844106464,22.0,18530.0,12.0,201.0
PRV51371,No,11.0,11.0,1.0,83400.0,7581.818181818182,4525.885146978032,13000.0,0.0,11748.0,1068.0,2.0,71.0,7.0,4.818181818181818,53.0,17.0,4.818181818181818,35.0,34.0,1.0294117647058822,9730.0,278.0,516.821735110234,2300.0,0.0,50.0,1.4285714285714286,36.0,69.0,0.0,1.1428571428571428,69.0909090909091,21.00646726212392,27.249828884325805,85.83162217659138,1.5454545454545454,16.181818181818183,19.0,178.0,0.0,3.0,77.31721912584335,12.271498673074792,56.91444216290212,100.16700889801506,1.542857142857143,17.942857142857143,22.0,628.0,1.0,3.0
PRV56741,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,5620.0,224.8,388.7921466970923,1300.0,10.0,90.0,3.6,30.0,52.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.12041067761807,13.80064463714963,36.99931553730322,97.91649555099247,1.68,17.68,22.0,442.0,0.0,5.0
PRV53578,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.1666666666666667,570.0,81.42857142857143,105.42431272854338,300.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53642319350739,4.783227971188453,67.33470225872689,78.91581108829568,2.0,15.285714285714286,17.0,107.0,0.0,4.0
PRV55523,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,158.0,1.9177215189873418,83320.0,274.983498349835,555.398475523845,3300.0,0.0,910.0,3.0033003300330035,44.0,475.0,0.0,1.2805280528052805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.79274334004242,11.211506316941367,26.168377823408623,100.58590006844626,1.5247524752475248,17.894389438943893,22.0,5422.0,2.0,67.0
PRV56447,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,101.0,1.683168316831683,50870.0,299.2352941176471,563.4246540210934,3300.0,0.0,380.0,2.235294117647059,54.0,326.0,0.0,0.9941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.60265732576397,13.12697057917633,26.6694045174538,98.33538672142369,1.6529411764705881,17.870588235294118,22.0,3038.0,2.0,48.0
PRV55035,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,3860.0,275.7142857142857,870.8237858109217,3300.0,10.0,0.0,0.0,10.0,42.0,0.0,1.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18607607313973,7.553379918635128,60.50102669404517,87.08281998631075,1.6428571428571428,16.928571428571427,20.0,237.0,1.0,3.0
PRV52806,No,2.0,2.0,1.0,16000.0,8000.0,2828.42712474619,10000.0,6000.0,2136.0,1068.0,3.0,16.0,2.0,2.5,5.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.66803559206024,2.3579905803838925,71.00068446269678,74.33538672142369,2.0,17.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV52702,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,1.1666666666666667,6750.0,241.07142857142858,484.3196012866671,1800.0,0.0,40.0,1.4285714285714286,27.0,62.0,0.0,2.4642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.97692382907988,14.428522733801103,26.33538672142368,94.33538672142369,1.5,17.035714285714285,21.0,477.0,0.0,5.0
